life_expectancy,adult_mortality,bmi,hiv_aids,income_comp_res,schooling
73.9,92.0,64.7,0.1,0.804,13.9
82.1,61.0,64.2,0.1,0.8909999999999999,15.9
63.8,247.0,18.9,1.3,0.46399999999999997,10.2
65.2,24.0,39.6,1.1,0.622,11.7
64.0,221.0,38.1,0.1,0.0,10.2
65.1,217.0,24.7,1.2,0.527,10.3
74.8,129.0,52.4,0.1,0.6940000000000001,11.4
72.0,142.0,47.1,0.1,0.639,11.2
56.7,336.0,2.9,4.3,0.442,10.6
79.0,159.0,61.1,0.1,0.688,13.1
65.7,24.0,76.2,0.1,0.581,11.9
71.8,123.0,51.7,0.1,0.589,10.3
67.1,192.0,29.3,0.2,0.5589999999999999,11.0
63.3,273.0,15.5,0.2,0.0,8.4
61.1,314.0,22.8,4.3,0.57,12.5
58.2,366.0,21.2,6.3,0.5429999999999999,12.0
72.9,172.0,35.5,0.1,0.762,13.5
54.0,485.0,42.2,28.9,0.613,12.9
58.2,354.0,22.8,5.0,0.517,9.8
73.7,121.0,45.4,0.4,0.753,14.2
78.7,96.0,59.9,0.1,0.773,14.7
69.5,144.0,14.6,0.1,0.523,8.4
71.0,175.0,5.9,0.2,0.706,12.8
73.5,134.0,55.0,0.1,0.74,12.6
62.0,289.0,31.3,3.3,0.42700000000000005,5.0
59.9,271.0,18.6,0.1,0.47600000000000003,10.0
72.6,11.0,56.2,0.1,0.737,11.8
73.0,117.0,3.5,0.2,0.643,13.5
59.9,26.0,19.4,0.6,0.39899999999999997,7.7
66.5,22.0,39.6,0.1,0.446,7.3
74.8,99.0,65.4,0.1,0.763,13.3
75.4,124.0,59.5,0.1,0.76,15.3
62.8,225.0,2.8,0.6,0.435,7.1
44.6,613.0,15.2,24.2,0.36200000000000004,10.3
73.9,158.0,27.9,0.2,0.711,13.1
55.3,473.0,45.7,23.5,0.616,12.9
73.0,121.0,46.5,0.1,0.6729999999999999,11.7
74.8,141.0,45.9,0.1,0.7340000000000001,13.1
78.9,91.0,58.1,0.1,0.7959999999999999,14.9
73.6,157.0,52.6,1.2,0.695,12.9
66.3,215.0,48.6,0.1,0.688,10.8
76.0,176.0,43.0,0.4,0.774,12.6
69.4,174.0,53.5,0.1,0.629,11.4
65.8,22.0,44.1,0.3,0.63,10.6
71.6,189.0,21.7,0.5,0.674,11.9
64.5,235.0,42.7,0.1,0.0,10.5
67.0,261.0,35.43532608695652,0.2,0.423,6.1
89.0,88.0,59.1,0.1,0.877,16.1
81.2,69.0,3.4,0.1,0.5823099263112267,11.219255733448723
75.7,1.0,51.0,0.1,0.6970000000000001,12.7
73.6,9.0,66.3,0.1,0.789,14.2
68.4,174.0,65.2,0.1,0.628,11.2
73.6,131.0,73.8,0.1,0.7,12.9
48.1,424.0,21.7,1.6,0.384,8.7
78.0,23.0,6.7,0.2,0.746,15.2
75.1,85.0,56.0,0.1,0.755,13.6
69.1,194.0,34.4,1.2,0.715,11.8
66.8,161.0,11.6,0.1,0.484,7.9
59.0,284.0,23.3,0.5,0.414,8.8
53.6,362.0,24.7,3.9,0.521,10.0
73.3,136.0,52.7,0.1,0.0,0.0
72.6,144.0,72.5,0.1,0.69,12.9
58.1,29.0,21.2,2.0,0.385,8.4
66.1,181.0,34.7,0.3,0.586,10.9
85.0,82.0,63.8,0.1,0.845,16.3
73.0,225.0,59.9,0.1,0.8029999999999999,14.9
76.7,115.0,5.4,0.1,0.6859999999999999,12.3
51.0,338.0,12.9,3.2,0.0,3.6
69.4,166.0,69.4,0.1,0.637,11.7
71.0,161.0,45.7,0.1,0.5720000000000001,10.6
61.5,38.0,18.1,3.2,0.483,10.0
73.4,165.0,57.6,0.1,0.728,12.9
75.7,125.0,47.8,0.2,0.725,12.6
72.5,168.0,53.4,0.1,0.67,10.6
57.5,295.0,15.2,0.1,0.415,8.4
51.5,417.0,25.0,3.3,0.5823099263112267,11.219255733448723
76.6,84.0,65.1,0.1,0.83,13.7
62.8,254.0,17.6,0.5,0.5,9.7
77.0,186.0,52.6,0.1,0.6709999999999999,13.8
61.3,236.0,19.9,0.7,0.42200000000000004,6.6
66.0,21.0,14.4,0.2,0.47600000000000003,9.6
65.0,29.0,38.5,3.9,0.452,8.2
74.6,152.0,32.4,0.1,0.737,13.6
62.0,269.0,25.4,1.4,0.44,8.8
61.7,31.0,33.0,8.0,0.652,12.4
69.4,19.0,36.8,1.0,0.736,12.2
55.6,371.0,26.6,4.9,0.486,10.0
74.6,147.0,41.4,0.1,0.0,0.0
75.4,83.0,58.5,0.1,0.77,14.9
52.1,412.0,22.8,7.5,0.455,8.2
65.4,226.0,39.6,0.1,0.498,9.0
55.6,317.0,19.0,2.6,0.35600000000000004,7.1
73.8,145.0,17.2,0.1,0.718,13.1
78.2,89.0,26.7,0.1,0.5823099263112267,11.219255733448723
71.7,134.0,52.5,0.1,0.596,10.8
47.4,382.0,17.7,2.6,0.426,6.8
53.2,446.0,14.5,8.7,0.429,10.9
74.3,143.0,55.7,0.1,0.7070000000000001,13.2
47.1,386.0,17.2,2.5,0.415,6.4
74.8,172.0,63.2,0.1,0.79,12.6
73.0,19.0,54.8,0.5,0.7,12.3
59.7,322.0,3.3,11.1,0.64,12.3
72.9,134.0,46.5,0.1,0.705,10.7
78.0,146.0,45.5,0.1,0.6659999999999999,11.6
54.1,412.0,16.4,11.6,0.474,9.6
75.5,98.0,54.5,0.1,0.794,15.3
64.4,294.0,56.2,0.1,0.575,9.0
58.1,299.0,22.7,0.5,0.41200000000000003,8.6
68.9,228.0,49.5,0.1,0.5823099263112267,11.219255733448723
79.0,176.0,38.8,0.1,0.0,14.4
73.0,24.0,47.0,0.4,0.621,11.8
72.2,149.0,7.9,0.1,0.682,12.9
54.5,486.0,45.0,26.4,0.612,12.9
69.4,184.0,44.7,0.1,0.6970000000000001,12.1
62.8,274.0,38.5,0.1,0.5820000000000001,8.9
79.2,96.0,58.6,0.1,0.8690000000000001,17.2
74.4,144.0,47.9,0.3,0.693,12.8
51.6,365.0,17.5,3.9,0.37,6.7
48.7,371.0,19.3,2.6,0.46799999999999997,8.1
77.0,116.0,64.0,0.1,0.794,15.5
71.2,141.0,49.9,0.1,0.591,10.8
57.6,285.0,24.3,5.3,0.41600000000000004,9.1
53.1,381.0,35.43532608695652,4.2,0.0,0.0
69.4,189.0,48.5,0.1,0.7020000000000001,12.5
72.5,169.0,54.1,0.1,0.672,10.4
56.7,375.0,22.2,4.1,0.409,9.1
74.9,13.0,58.3,0.1,0.7170000000000001,14.6
56.8,33.0,16.1,1.9,0.361,9.3
66.3,198.0,77.6,0.1,0.586,11.9
67.0,223.0,2.1,0.1,0.642,11.6
67.6,256.0,55.4,0.9,0.6829999999999999,13.9
67.1,186.0,35.9,0.2,0.6,11.0
73.1,144.0,5.5,0.1,0.6579999999999999,11.1
71.4,189.0,49.3,0.4,0.611,10.7
62.5,243.0,35.43532608695652,0.3,0.461,7.0
75.6,127.0,6.1,0.1,0.7390000000000001,12.5
64.4,211.0,13.5,0.3,0.526,9.4
76.0,174.0,67.4,0.1,0.653,12.1
63.6,218.0,18.0,0.3,0.535,9.6
76.9,77.0,62.4,0.1,0.8320000000000001,13.3
74.5,145.0,48.9,0.4,0.718,12.6
62.6,224.0,2.7,1.5,0.488,9.3
75.2,139.0,51.2,0.6,0.722,12.8
56.0,358.0,21.5,2.6,0.508,10.3
45.6,69.0,27.4,50.3,0.49200000000000005,9.4
52.2,449.0,18.1,10.0,0.5823099263112267,11.219255733448723
73.9,127.0,52.8,0.1,0.742,13.3
65.1,268.0,37.3,2.3,0.6970000000000001,12.6
77.2,12.0,55.6,0.1,0.765,12.8
76.2,12.0,52.8,0.1,0.7959999999999999,13.7
72.8,121.0,58.6,0.1,0.733,13.7
76.6,118.0,6.7,0.1,0.774,15.5
79.4,8.0,58.5,0.1,0.867,15.8
74.4,98.0,61.9,0.1,0.731,12.9
73.2,131.0,46.8,0.1,0.61,10.6
71.0,133.0,49.9,0.1,0.575,10.0
69.0,227.0,18.5,0.6,0.341,5.3
59.2,277.0,24.0,2.1,0.4,9.7
67.8,236.0,49.2,0.1,0.763,14.5
59.4,241.0,17.7,0.7,0.32299999999999995,4.8
69.5,17.0,57.8,0.1,0.659,10.3
72.8,161.0,43.5,0.8,0.583,10.8
73.0,141.0,46.6,0.1,0.7190000000000001,11.6
69.2,166.0,68.1,0.1,0.6409999999999999,11.7
66.5,188.0,16.0,0.1,0.604,10.6
74.9,129.0,53.6,0.1,0.725,13.4
46.0,665.0,25.5,43.5,0.434,9.8
51.6,332.0,13.3,2.9,0.0,3.8
66.8,193.0,16.4,0.2,0.58,10.8
71.6,183.0,36.8,0.4,0.0,12.8
53.3,313.0,14.2,2.3,0.0,4.3
75.4,113.0,59.7,0.1,0.792,15.1
72.2,184.0,31.8,0.1,0.7390000000000001,13.2
73.3,137.0,5.7,0.1,0.725,11.9
54.5,411.0,19.1,8.5,0.5823099263112267,11.219255733448723
71.4,132.0,17.7,0.1,0.57,10.0
73.2,14.0,5.1,0.1,0.721,12.3
73.3,161.0,55.9,0.1,0.687,11.6
58.5,273.0,12.4,2.2,0.41200000000000003,7.6
73.1,157.0,53.1,0.1,0.72,13.3
76.4,85.0,64.1,0.1,0.807,12.2
74.3,95.0,58.5,0.1,0.645,12.1
68.4,225.0,51.5,0.1,0.7290000000000001,14.8
72.4,138.0,5.4,0.1,0.7040000000000001,11.8
84.0,76.0,64.9,0.1,0.858,16.8
58.0,434.0,18.5,16.2,0.341,7.3
67.8,235.0,48.5,0.1,0.758,14.6
74.6,19.0,49.9,0.1,0.779,15.5
66.7,174.0,35.9,0.2,0.601,11.1
74.1,1.0,61.4,0.1,0.733,13.2
52.6,378.0,13.8,4.8,0.27899999999999997,5.2
59.0,27.0,18.2,0.7,0.392,7.5
64.2,179.0,19.5,0.1,0.501,6.5
58.0,348.0,18.6,0.9,0.5823099263112267,11.219255733448723
75.2,19.0,64.5,0.1,0.754,14.4
77.0,196.0,47.2,0.4,0.602,10.5
69.3,214.0,47.2,2.1,0.6659999999999999,12.5
75.0,24.0,59.0,0.2,0.7340000000000001,14.9
65.0,238.0,39.0,1.8,0.619,11.4
51.0,413.0,24.4,0.5,0.431,9.5
51.0,426.0,24.4,3.7,0.5823099263112267,11.219255733448723
59.1,251.0,23.5,1.4,0.45399999999999996,9.8
65.9,221.0,42.4,0.4,0.618,10.2
79.0,159.0,59.4,0.1,0.6809999999999999,12.8
71.5,165.0,47.5,0.1,0.653,11.4
69.5,184.0,46.3,0.3,0.7,12.7
73.9,118.0,61.1,0.1,0.7090000000000001,12.5
71.4,167.0,46.7,0.1,0.65,11.3
53.4,369.0,14.1,4.3,0.28600000000000003,5.6
69.4,153.0,3.8,0.1,0.5823099263112267,11.219255733448723
67.7,158.0,16.6,0.1,0.62,12.5
61.8,268.0,32.7,2.7,0.451,5.9
63.6,274.0,17.0,0.6,0.41,5.0
68.2,247.0,56.2,0.1,0.703,14.1
63.8,238.0,35.7,0.1,0.48,8.5
67.11146523178809,182.8331953642384,82.8,0.1,0.5823099263112267,11.219255733448723
69.9,146.0,47.3,0.1,0.551,9.3
44.8,73.0,26.3,39.8,0.42700000000000005,10.0
68.7,181.0,25.6,0.3,0.677,12.9
78.9,99.0,53.4,0.1,0.74,12.9
77.5,74.0,66.5,0.1,0.8270000000000001,12.4
55.9,344.0,19.8,5.1,0.44299999999999995,10.6
71.8,188.0,27.1,0.1,0.0,12.3
66.9,224.0,38.0,0.1,0.612,12.4
67.0,189.0,15.4,0.2,0.49200000000000005,10.1
64.5,293.0,57.1,0.1,0.5529999999999999,9.0
63.4,24.0,35.1,0.1,0.47700000000000004,8.6
68.5,183.0,24.7,0.3,0.669,12.6
71.1,173.0,39.4,0.1,0.0,14.6
74.7,11.0,56.0,0.1,0.8029999999999999,12.1
72.2,185.0,3.1,0.1,0.7120000000000001,12.1
72.0,187.0,27.6,0.1,0.7140000000000001,12.2
58.6,33.0,17.6,1.0,0.39799999999999996,10.5
67.3,191.0,19.7,0.1,0.632,10.9
52.2,513.0,3.8,9.0,0.479,11.0
72.2,11.0,21.2,0.1,0.5920000000000001,9.6
68.3,214.0,55.1,0.1,0.6990000000000001,13.9
68.0,155.0,17.0,0.1,0.612,12.5
54.4,36.0,2.7,5.6,0.38799999999999996,8.3
74.3,13.0,36.3,0.1,0.774,13.0
72.4,148.0,7.1,0.1,0.695,14.6
74.8,95.0,28.0,0.1,0.82,13.3
51.7,566.0,32.7,20.6,0.593,11.9
68.4,154.0,44.2,0.1,0.6679999999999999,11.0
71.9,155.0,67.0,0.1,0.679,13.5
72.1,186.0,29.2,0.1,0.715,12.3
56.2,344.0,22.6,7.7,0.58,9.2
55.7,345.0,19.3,5.0,0.436,10.2
64.0,37.0,41.1,1.5,0.446,7.9
59.8,269.0,18.8,0.1,0.0,9.5
74.4,123.0,52.8,0.1,0.705,13.1
56.2,3.0,13.0,0.1,0.341,6.2
59.4,34.0,13.9,1.6,0.0,5.4
61.6,288.0,44.2,1.1,0.47700000000000004,9.2
65.8,235.0,37.9,0.1,0.455,7.2
75.1,131.0,55.0,0.1,0.738,14.0
69.1,197.0,33.6,0.9,0.7090000000000001,11.7
78.2,62.0,26.2,0.1,0.693,12.7
67.11146523178809,182.8331953642384,35.43532608695652,0.1,0.5823099263112267,15.1
75.6,136.0,52.7,0.6,0.727,12.8
77.0,137.0,16.4,0.1,0.557,9.9
72.9,14.0,27.9,0.1,0.723,12.0
58.2,266.0,23.8,1.5,0.43799999999999994,8.4
73.3,163.0,3.7,0.2,0.74,14.0
57.0,431.0,28.7,19.2,0.57,11.4
64.7,215.0,7.6,0.1,0.0,11.6
72.7,171.0,42.5,2.2,0.68,10.9
73.8,148.0,48.6,0.2,0.679,12.3
47.1,433.0,21.2,1.7,0.375,8.5
75.0,162.0,62.0,0.1,0.7879999999999999,12.6
71.4,128.0,5.8,0.1,0.581,10.0
65.9,218.0,45.0,0.3,0.633,10.3
73.0,187.0,39.9,0.1,0.0,14.8
67.7,253.0,55.1,0.8,0.6729999999999999,13.2
67.4,225.0,44.9,0.1,0.6729999999999999,13.4
69.3,191.0,36.0,0.5,0.7290000000000001,12.0
63.2,266.0,39.1,0.1,0.588,9.4
68.2,152.0,13.0,0.1,0.506,8.4
68.0,252.0,31.2,0.1,0.436,7.7
55.7,299.0,17.8,1.9,0.5823099263112267,11.219255733448723
86.0,75.0,29.1,0.1,0.5823099263112267,11.219255733448723
46.7,679.0,3.5,37.2,0.56,11.8
59.3,271.0,14.7,0.7,0.462,8.3
76.4,13.0,47.7,0.2,0.784,13.9
67.5,216.0,21.1,0.1,0.648,11.4
68.7,26.0,57.3,0.1,0.7,14.3
59.7,336.0,14.3,1.4,0.405,5.3
66.4,21.0,22.9,0.3,0.547,9.1
81.0,84.0,62.5,0.1,0.831,15.6
66.0,163.0,23.9,0.1,0.5379999999999999,7.7
74.2,171.0,58.7,0.1,0.7879999999999999,12.4
51.4,394.0,2.9,7.7,0.433,6.9
51.5,454.0,17.7,10.8,0.5823099263112267,11.219255733448723
71.8,178.0,37.3,0.3,0.684,12.6
66.9,235.0,45.9,0.1,0.6859999999999999,13.8
56.4,345.0,35.43532608695652,3.6,0.41700000000000004,4.9
76.7,73.0,22.1,0.1,0.653,11.6
78.0,161.0,6.2,0.1,0.6859999999999999,13.1
51.4,383.0,35.43532608695652,3.8,0.0,0.0
66.2,24.0,26.9,0.5,0.542,10.6
67.4,211.0,48.0,0.2,0.632,14.0
73.3,144.0,46.5,0.1,0.746,15.8
79.0,186.0,41.0,0.7,0.6729999999999999,12.8
73.5,123.0,44.6,0.8,0.7490000000000001,14.0
52.8,332.0,16.1,2.2,0.5823099263112267,11.219255733448723
73.8,128.0,74.3,0.1,0.701,12.9
59.8,259.0,13.8,0.1,0.47700000000000004,8.3
72.0,153.0,67.8,0.1,0.6829999999999999,13.7
79.3,91.0,59.9,0.1,0.816,15.3
52.0,382.0,35.43532608695652,3.3,0.0,0.0
58.6,271.0,17.7,0.8,0.384,7.2
75.6,138.0,44.4,0.1,0.7829999999999999,14.1
75.0,93.0,64.0,0.1,0.758,13.2
67.0,185.0,61.5,0.1,0.0,0.0
73.9,152.0,58.9,0.3,0.718,13.2
68.0,218.0,23.1,0.1,0.669,11.5
75.1,113.0,56.1,0.1,0.732,14.4
62.8,19.0,16.4,0.1,0.445,5.3
75.5,121.0,59.8,0.1,0.802,16.8
63.0,232.0,18.1,0.7,0.331,5.1
74.5,83.0,7.2,0.1,0.7959999999999999,13.1
76.4,124.0,51.9,0.2,0.743,12.9
36.3,682.0,44.2,1.9,0.47,8.6
78.7,84.0,27.2,0.1,0.5823099263112267,11.219255733448723
67.4,159.0,16.2,0.1,0.618,12.5
48.6,453.0,19.8,7.3,0.345,6.4
51.0,53.0,13.9,9.4,0.418,11.5
78.2,68.0,69.3,0.1,0.855,13.4
75.4,124.0,55.7,0.1,0.7140000000000001,12.1
73.3,135.0,74.8,0.1,0.716,14.3
51.4,477.0,28.9,40.2,0.514,10.6
58.6,284.0,35.43532608695652,0.1,0.39399999999999996,5.5
75.8,133.0,53.5,0.5,0.727,12.8
86.0,92.0,58.0,0.1,0.87,16.1
52.5,397.0,22.7,4.4,0.34700000000000003,7.1
65.0,295.0,46.8,0.1,0.747,14.3
72.9,15.0,57.7,0.1,0.745,12.1
45.6,54.0,16.8,13.9,0.314,5.3
57.7,274.0,12.1,2.1,0.401,7.2
71.7,23.0,61.1,0.1,0.7959999999999999,15.7
47.6,477.0,19.4,8.3,0.33799999999999997,6.3
71.7,142.0,47.0,0.1,0.677,11.8
52.6,362.0,18.7,2.9,0.39,7.3
59.7,252.0,25.2,1.1,0.475,10.7
63.6,37.0,55.2,0.1,0.635,13.0
78.0,225.0,54.3,0.1,0.7809999999999999,15.0
72.7,161.0,52.2,0.1,0.7170000000000001,13.3
74.0,138.0,54.6,0.1,0.7709999999999999,15.6
73.0,12.0,59.3,0.1,0.736,13.6
73.2,156.0,54.1,0.1,0.72,13.3
65.4,215.0,25.4,0.9,0.531,10.4
69.8,194.0,5.6,0.1,0.655,13.8
67.0,34.0,23.2,1.4,0.5823099263112267,11.219255733448723
69.8,149.0,31.3,0.1,0.5823099263112267,11.219255733448723
68.6,16.0,44.8,0.1,0.519,8.0
75.0,154.0,46.9,0.1,0.679,11.8
81.1,88.0,59.6,0.1,0.879,16.0
76.0,84.0,55.1,0.1,0.831,13.2
52.9,279.0,15.0,1.6,0.27,3.1
74.2,125.0,57.2,0.1,0.762,13.6
59.7,315.0,29.2,10.7,0.636,12.3
78.0,14.0,54.6,0.1,0.732,14.7
66.5,213.0,51.3,0.1,0.616,9.4
63.9,274.0,26.2,3.0,0.5760000000000001,11.1
75.5,17.0,65.3,0.1,0.759,14.5
72.6,177.0,34.2,0.1,0.7440000000000001,13.3
73.6,99.0,55.5,0.1,0.623,11.6
72.7,121.0,29.0,0.3,0.636,13.2
59.4,288.0,23.0,2.9,0.51,8.7
67.9,218.0,22.6,0.1,0.662,11.4
63.0,26.0,3.1,0.9,0.509,8.5
70.0,224.0,58.2,0.1,0.755,15.1
66.4,178.0,35.3,0.3,0.5920000000000001,10.8
68.1,219.0,24.3,0.1,0.6709999999999999,11.7
74.4,151.0,45.8,0.3,0.679,12.6
74.0,131.0,34.4,0.1,0.7559999999999999,12.6
73.9,128.0,51.9,0.1,0.7290000000000001,12.7
71.4,177.0,44.7,0.2,0.6920000000000001,13.3
73.6,157.0,51.1,0.1,0.7140000000000001,13.8
71.0,184.0,42.9,0.4,0.682,13.0
45.3,593.0,12.6,1.9,0.0,3.9
51.5,387.0,13.3,5.2,0.268,4.4
76.2,118.0,62.2,0.1,0.825,17.3
52.2,335.0,21.5,0.8,0.5823099263112267,11.219255733448723
71.7,189.0,2.9,0.6,0.6659999999999999,11.8
76.2,91.0,54.3,0.1,0.725,12.5
71.5,174.0,26.9,0.1,0.687,12.6
57.9,339.0,17.9,6.4,0.506,10.4
74.6,146.0,33.3,0.1,0.779,15.2
52.8,47.0,27.4,2.0,0.5823099263112267,11.219255733448723
73.1,19.0,56.0,0.1,0.7809999999999999,12.1
68.7,197.0,43.2,0.8,0.691,12.5
55.3,394.0,21.7,5.9,0.496,9.4
67.0,234.0,18.8,0.4,0.0,10.5
69.7,24.0,44.5,0.4,0.57,9.8
56.7,287.0,23.1,5.9,0.405,8.9
73.8,158.0,59.9,0.1,0.7559999999999999,14.1
64.7,249.0,53.2,0.1,0.631,10.2
52.4,437.0,15.5,14.5,0.45,8.2
72.7,134.0,48.1,0.1,0.657,10.8
75.4,82.0,19.5,0.1,0.632,11.9
56.6,298.0,19.1,2.5,0.392,7.0
72.7,163.0,47.8,0.1,0.6940000000000001,13.8
43.3,48.0,19.2,2.2,0.341,7.8
73.7,14.0,52.2,0.2,0.708,13.3
75.0,117.0,58.5,0.1,0.785,14.6
59.5,271.0,18.0,0.1,0.0,8.8
78.3,99.0,47.3,0.1,0.7120000000000001,11.9
57.4,327.0,23.5,5.7,0.586,9.2
55.0,359.0,35.43532608695652,4.0,0.0,0.0
66.6,217.0,37.0,0.1,0.602,12.2
60.0,249.0,25.7,1.0,0.48100000000000004,10.7
58.4,282.0,25.6,3.4,0.419,9.2
76.0,121.0,52.8,0.1,0.725,13.4
77.4,18.0,52.1,0.1,0.6940000000000001,12.9
59.9,287.0,24.3,1.0,0.484,12.0
67.3,191.0,3.1,0.2,0.562,11.1
64.9,23.0,2.1,0.3,0.563,10.4
74.1,131.0,56.4,0.1,0.754,13.6
75.4,11.0,48.8,0.1,0.0,11.9
49.9,451.0,21.6,5.1,0.37,7.1
73.3,165.0,45.4,2.3,0.6890000000000001,11.1
71.1,144.0,23.2,0.9,0.5720000000000001,11.3
71.7,146.0,47.0,0.1,0.6629999999999999,11.5
75.6,87.0,55.1,0.1,0.826,12.9
78.8,92.0,58.4,0.1,0.78,16.5
58.3,277.0,2.1,1.5,0.5823099263112267,11.219255733448723
58.4,252.0,18.3,0.7,0.397,5.7
71.2,17.0,47.1,0.3,0.779,12.7
74.0,132.0,55.8,0.1,0.7490000000000001,13.5
73.0,17.0,36.2,0.1,0.7659999999999999,13.2
75.4,16.0,63.8,0.1,0.789,12.6
64.8,214.0,71.4,0.1,0.0,12.4
73.1,147.0,51.3,0.1,0.669,11.5
73.5,162.0,25.7,0.3,0.7,12.9
73.2,95.0,64.5,0.1,0.7859999999999999,14.0
76.6,12.0,62.1,0.1,0.753,12.9
73.0,138.0,73.8,0.1,0.7170000000000001,14.4
49.6,394.0,16.4,4.7,0.33799999999999997,6.0
64.6,255.0,35.2,3.7,0.6779999999999999,12.5
68.3,214.0,5.4,0.9,0.0,11.1
67.7,221.0,5.2,0.1,0.6809999999999999,13.1
76.1,147.0,64.5,0.1,0.79,12.6
79.7,71.0,59.6,0.1,0.863,16.0
65.9,183.0,34.1,0.3,0.579,10.7
64.6,234.0,37.9,0.1,0.493,8.6
71.6,135.0,51.7,0.1,0.591,10.8
69.3,162.0,18.0,0.1,0.545,12.3
59.8,289.0,14.9,2.4,0.37799999999999995,7.6
76.2,92.0,31.2,0.1,0.8340000000000001,14.1
75.7,12.0,6.4,0.1,0.816,17.1
72.1,157.0,53.4,0.1,0.5823099263112267,11.219255733448723
74.0,148.0,55.2,0.1,0.643,10.3
52.4,335.0,23.3,1.9,0.531,11.4
70.0,144.0,49.5,0.1,0.603,8.6
68.1,252.0,56.7,0.1,0.713,14.4
72.0,232.0,59.9,0.1,0.787,15.5
65.4,246.0,35.7,1.1,0.602,10.9
72.9,15.0,44.7,0.1,0.741,15.8
73.0,14.0,15.8,0.1,0.545,9.4
77.2,89.0,55.3,0.1,0.742,14.2
74.7,119.0,53.9,0.1,0.7140000000000001,13.6
79.9,89.0,6.2,0.1,0.8740000000000001,16.8
72.0,13.0,53.3,0.1,0.598,10.8
53.7,278.0,15.4,1.6,0.278,3.5
65.6,2.0,22.7,0.4,0.46299999999999997,8.3
75.1,95.0,57.0,0.1,0.813,12.4
59.4,269.0,12.3,0.1,0.47,9.8
73.1,146.0,45.6,0.1,0.7440000000000001,15.8
49.4,452.0,22.6,5.8,0.5823099263112267,11.219255733448723
63.7,245.0,41.3,0.1,0.0,10.4
69.9,18.0,42.2,0.1,0.638,12.3
75.5,127.0,52.1,0.1,0.7170000000000001,13.3
73.9,117.0,46.9,0.1,0.7609999999999999,14.6
55.3,316.0,22.0,3.1,0.37200000000000005,10.1
53.2,367.0,24.1,3.9,0.514,9.8
74.2,148.0,48.1,0.9,0.7140000000000001,12.5
68.1,165.0,26.7,0.1,0.5823099263112267,11.219255733448723
65.4,29.0,19.8,0.5,0.515,8.8
